model,cv_auc,test_auc
Logistic Regression,0.7291008863399375,0.6942226855713095
SVM,0.7054549009384776,0.683322768974145
Random Forest,0.7848855578727842,0.7706488740617181
AdaBoost,0.7803034410844629,0.7463561301084237
Ensemble,0.7771436392075077,0.7493836530442034
